Time,Intensity(mV)
1020,4.82
1025,4.95
1030,5.05
1035,5.17
1040,5.27
1045,5.33
1050,5.44
1055,5.54
1100,5.66
1105,5.8
1110,5.85
1115,5.82
1135,6.11
1140,6.29
1145,6.37
1150,6.22
1155,6.03
1200,5.68
1205,6.24
1210,6.14
1215,6.44
1220,6.79
1225,6.87
1230,7.42
