Time,Intensity(mV)
1035,6.737
1040,6.79
1050,6.952
1055,7.084
1100,7.117
1105,7.31
1110,8.198
1115,8.224
1120,8.082
1125,8.086
1130,8.648
1151,8.157
1200,8.131
1209,8.077
1255,8.185
1305,8.75
1315,8.613
1325,8.413
1330,9.2
1340,6.282
1355,7.279
1400,6.843
1401,6.81
1407,6.811
